V1,Country,Happiness,GDP,Support,Life,Freedom,Generosity,Corruption,World
21,Chad,4.322675228,7.695847034,0.677710445868103,44.87282562,0.474360883,-0.041133381,0.88863939,3
22,Chile,6.532749653,10.00948334,0.78749910089981,71.5785675,0.76888144,0.026815979,0.811511338,4
24,Colombia,6.387571812,9.471477509,0.64612866478335,63.84049606,0.790897965,-0.107555106,0.842899323,4
25,Congo (Brazzaville),4.690830231,8.68521595,0.778009545315539,53.51810837,0.85017246,-0.143441707,0.841359496,3
26,Congo (Kinshasa),3.902741671,6.613965511,0.642910864329482,50.01415253,0.573763788,-0.014224946,0.866378009,3
27,Costa Rica,6.854004383,9.580832481,0.701090014469068,69.49661255,0.906925678,-0.058310181,0.761419415,4
28,Croatia,5.205438137,9.919107437,0.828810556089738,67.59174347,0.693523049,-0.100691713,0.848545551,2
30,Czech Republic,6.608017445,10.30809784,0.725995939497304,69.60412598,0.808484197,-0.152868271,0.886467457,2
31,Denmark,7.514424801,10.67642689,0.766891119864628,70.70426941,0.94143641,0.213263184,0.191016391,1
32,Dominican Republic,5.061862469,9.488246918,0.869457719004644,63.1620636,0.856025338,-0.06887234,0.755288184,4
33,Ecuador,5.964075089,9.2706213,0.481184413825597,66.94998932,0.800870478,-0.118297137,0.665827513,4
34,Egypt,4.762538433,9.234282494,0.652040683650296,61.2741127,0.659261465,-0.09849906,0.684498072,4
35,El Salvador,6.018496037,9.001606941,0.94401272322662,63.9018898,0.733355939,-0.16634281,0.80454427,4
36,Estonia,5.628908634,10.21057701,0.100917410251263,66.66893005,0.814692378,-0.173507467,0.568734467,2
37,Ethiopia,4.573154926,7.333114147,0.698105146656761,55.63551712,0.802642584,0.125852734,0.56702733,3
38,Finland,7.447925568,10.55357838,0.158439651488463,71.21165466,0.929861903,0.100564413,0.223369658,4
39,France,6.357625008,10.53086185,0.607223270614658,71.97216034,0.817036211,-0.150623634,0.640602052,1
40,Gabon,4.66101265,9.845918655,0.677782508942264,55.68796539,0.671300709,-0.224478483,0.86677748,4
41,Georgia,4.121940613,8.902565002,0.6493548552412,65.30636597,0.639944971,-0.175952777,0.50241679,2
42,Germany,7.037137508,10.69496822,0.631126113907947,71.30358124,0.889428854,0.164857537,0.412168294,1
43,Ghana,3.985916138,8.277353287,0.115599689779491,53.54027939,0.852016151,-0.030955523,0.94543612,3
44,Greece,5.622519016,10.09350872,0.844969945409256,70.67931366,0.531736314,-0.278941423,0.823959649,1
45,Guatemala,6.464986801,8.886600494,0.706751103080687,61.96589279,0.868639767,0.050059937,0.821654916,4
46,Guinea,3.504693508,7.037233829,0.924063580840877,50.16095734,0.66595304,0.054546587,0.762152016,3
47,Haiti,3.569762468,7.413352013,0.589160657567779,52.95332336,0.398295492,0.312127113,0.777403951,3
48,Honduras,4.845436573,8.470056534,0.22910640310529,63.41060638,0.534057677,-0.095861293,0.848082721,4
49,Hungary,5.34438324,10.10733318,0.119296464833365,66.59667969,0.557721376,-0.208412573,0.907530308,2
50,India,4.342079163,8.659319878,0.854706355192756,59.07401276,0.777225256,-0.016868993999999998,0.776434958,4
51,Indonesia,5.04279995,9.24771595,0.222991240954554,60.31875992,0.779418349,0.457429528,0.945967257,4
53,Iraq,4.493377209,9.546689034,0.603857908776027,60.94004059,0.599459946,-0.016951477,0.762167156,4
54,Ireland,6.830125332,10.83902645,0.0589934929534605,71.29930878,0.892276943,0.232017383,0.40875691199999997,1
55,Israel,7.07941103,10.36330509,0.762868831638363,72.66603088,0.752783954,0.09993881,0.789429903,1
56,Italy,5.847683907,10.39468098,0.195303204292117,72.46585846,0.574765742,-0.070082054,0.912753046,1
57,Ivory Coast,4.445038795,8.095673561,0.537682139143224,45.04415894,0.7997455,-0.035634797,0.744249642,4
58,Japan,5.879684448,10.4885788,0.913740588356158,74.82469177,0.831694186,-0.169799194,0.654443085,1
59,Jordan,5.404593468,9.35201931,NA,64.18115997,0.766517043,-0.069207847,NA,4
60,Kazakhstan,5.949995041,10.04227257,0.721371692394249,63.64411926,0.740132809,-0.051406134,0.713844299,2
61,Kenya,4.357617855,7.97029686,0.882530631808069,54.14321899,0.792990327,0.238054082,0.852549851,4
64,Kyrgyzstan,4.905375957,8.061284065,0.458402011915386,62.41665268,0.813175857,0.226265088,0.857725024,2
65,Latvia,5.880597591,10.03790092,0.782493739376148,65.33850098,0.65639317,-0.085272886,0.808400393,2
66,Lebanon,5.171971321,9.728822708,0.714182917878707,69.59849548,0.596749783,0.054535788,0.888953269,4
67,Liberia,2.701591253,6.739804745,0.275767018248271,51.28914261,0.671430886,-0.009916847,0.902672648,3
68,Libya,5.615404606,9.555549622,NA,61.16175079,0.774544954,-0.076456018,NA,4
69,Lithuania,5.711378098,10.18536758,0.140147692826473,65.67057037,0.641470194,-0.26240477,0.92417407,2
70,Luxembourg,6.701571465,11.42996979,0.69706638535772,72.53325653,0.932256401,0.036430217,0.37539047,1
71,Macedonia,4.975589752,9.446382523,0.737212563595773,65.56458282,0.660318911,-0.048491806,0.824178994,2
72,Madagascar,3.592514038,7.228696823,0.986754161064357,56.3134613,0.544753611,-0.029426256,0.860953391,3
73,Malawi,3.86763835,6.660712242,0.54604280152349,54.48933411,0.801390707,0.085140154,0.834825397,3
74,Malaysia,6.322121143,10.13670444,0.715258946317272,64.740242,0.674594462,0.201898143,0.837892234,4
75,Mali,4.582098484,7.350599766,0.889285505876342,49.19207382,0.633753538,-0.042629778,0.800046742,3
77,Mauritania,3.922664165,8.231690407,0.633921728833182,53.24209976,0.447086573,0.07314235,0.715358436,3
78,Mexico,6.236287117,9.707403183,0.813527305554861,67.78440857,0.719465971,-0.156158805,0.707971931,4
79,Moldova,6.017472267,8.447127342,0.233716590592158,61.26768112,0.595241427,-0.038925178,0.943118811,2
80,Mongolia,4.982719898,9.346309662,0.257174583741698,62.64930725,0.685510755,0.157298073,0.900218189,4
81,Montenegro,5.124921322,9.616769791,0.928058447068513,65.11016846,0.583317339,-0.145327449,0.781232595,2
82,Morocco,5.160294056,8.906809807,0.49614170271953,63.91926193,0.693418562,-0.248565361,0.867774427,4
84,Nepal,4.812436581,7.74691391,0.683433445991659,60.75209808,0.763447225,0.242998511,0.823508382,3
85,Netherlands,7.324437141,10.74862385,0.940305197874394,71.0919342,0.903978765,0.247195244,0.41182211,1
86,New Zealand,7.418120861,10.43199444,0.753068764003562,71.92076111,0.941784263,0.320652515,0.185888708,1
87,Nicaragua,5.924112797,8.480530739,0.892570644949875,65.85805511,0.809259176,0.081847742,0.727998376,4
88,Niger,3.671453714,6.803243637,0.888153903632961,52.82997131,0.728128314,-0.009490362,0.702549696,3
89,Nigeria,4.932914734,8.644703865,0.122821270598371,45.24733734,0.680470288,-0.045139253,0.926109254,4
91,Norway,7.603433609,11.06800938,0.661076842821834,70.52483368,0.947620511,0.228181615,0.298814356,1
92,Pakistan,4.823194981,8.464853287,0.84489576480381,57.25551605,0.586546242,0.07171613,0.716641188,4
93,Palestinian Territories,4.695239067,8.365736961,0.968250244639771,62.83749771,0.556040943,-0.150193453,0.77430135,4
94,Panama,6.605550289,9.942081451,0.450278976927981,67.68180084,0.846669197,-0.002205028,0.809942901,4
95,Paraguay,5.559724331,9.065534592,0.694117885653649,63.34424591,0.806124747,0.003749649,0.862888277,4
96,Peru,5.577263355,9.358279228,0.0640588782287731,65.03024292,0.802269042,-0.100029737,0.883730412,4
97,Philippines,5.547489166,8.843669891,0.695942437431604,59.46133423,0.911533594,-0.056648508,0.755191565,4
98,Poland,6.007021904,10.12024021,0.663599797667107,66.95755768,0.793462157,-0.103777371,0.810096323,2
99,Portugal,5.080866337,10.19528389,0.162483999109153,70.45056152,0.800440311,-0.171841606,0.941050768,1
101,Romania,5.777491093,9.896219254,0.214709242237874,66.41331482,0.795847714,-0.145152822,0.961650968,2
102,Russia,5.995538712,10.012393,0.177357757043546,64.08342743,0.685454726,-0.179458767,0.913418293,2
103,Rwanda,3.483108997,7.416408062,0.759847226355847,54.64948654,0.907892346,0.035836529,0.09460447,3
104,Saudi Arabia,6.345491886,10.81576347,NA,63.71783829,0.820207238,-0.070376605,NA,4
105,Senegal,4.61700058,7.725879669,0.913181991798111,57.57684708,0.719533265,-0.092522651,0.765490174,3
106,Serbia,5.317685127,9.462955475,0.78098380683163,65.63837433,0.545892,-0.062717922,0.859358013,2
107,Sierra Leone,4.908617973,7.374071121,0.447953773526475,43.74033737,0.624296129,0.050585665,0.824828029,3
109,Slovakia,6.162004471,10.21408272,0.2098124296622,67.49668884,0.587157667,-0.142087966,0.92754513,2
110,Slovenia,5.740642071,10.26922512,0.62145969623467,70.51219177,0.896007299,-6.29284e-4,0.892197907,2
112,South Africa,4.887325764,9.428297997,0.620706919488007,50.14693451,0.862449408,-0.138439283,0.85269475,4
113,South Korea,5.780211449,10.44602489,0.72267190041587,73.85836792,0.61584878,-0.048341293,0.840721607,1
114,Spain,6.380663395,10.4028635,0.163896281899225,73.37998199,0.73200047,-0.08434999,0.821664929,1
115,Sri Lanka,4.611606598,9.319309235,0.750203948344441,64.64014435,0.902074754,0.310886711,0.859470963,4
116,Sweden,7.28892231,10.71233368,0.647810286110122,71.74086761,0.935072064,0.197725981,0.231964141,1
117,Switzerland,7.572136879,10.91472626,0.728530995038044,72.86914825,0.927802444,0.097075745,0.209533513,1
120,Tajikistan,5.124210835,7.869647503,0.702958412816428,61.64696503,0.84654212,0.025703574,0.741689622,2
121,Tanzania,3.660597324,7.831086636,0.0498700253695911,56.12051773,0.758684695,0.14245908,0.906422615,3
122,Thailand,6.201762676,9.637292862,0.143321354439486,65.64533997,0.884916544,0.30507648,0.913651109,4
123,Togo,3.768301964,7.241590977,0.670621760857572,51.97360992,0.771577239,-0.063052811,0.733261764,3
124,Tunisia,5.131611824,9.292293549,0.808512521075558,63.35025787,0.711373389,-0.240898952,0.814824998,4
125,Turkey,5.514465332,9.864202499,0.634264387463441,65.69591522,0.653196752,NA,0.806076229,1
126,Turkmenistan,5.791460037,9.669528961,NA,58.44134521,0.701358378,0.063167505,NA,2
127,Ukraine,3.964542866,8.8953619,0.196713071968423,63.52373505,0.43059203,-0.012190276,0.952472746,2
129,United Kingdom,6.515445232,10.56766129,0.6609427882468,71.05130768,0.832926095,0.288037807,0.456133723,1
130,United States,6.863946915,10.87796497,0.363399830964303,70.03674316,0.848753452,0.201775953,0.697542608,1
131,Uruguay,6.628080368,9.917072296,0.459458829006322,68.11640167,0.916879654,-0.04858673,0.673475683,4
132,Uzbekistan,5.972364426,8.630271912,0.274423817635723,60.53565598,0.979937136,0.373070538,0.470916927,2
135,Yemen,2.982673883,7.843260288,0.897030936463882,54.08095932,0.609980762,-0.139901683,0.829097569,3
136,Zimbabwe,3.70319128,7.430315495,0.942247040194488,50.36258316,0.667193294,-0.081429422,0.810457349,4
