"","Time","Speed","Noise"
"57",517.367069215004,"Slow","Uncontrollable"
"58",618.268124084316,"Slow","Uncontrollable"
"59",701.48626753674,"Slow","Uncontrollable"
"60",699.315699953448,"Slow","Uncontrollable"
"61",502.365598814664,"Medium","None"
"62",549.736543407046,"Medium","None"
"63",505.969047168415,"Medium","None"
"64",554.787422536368,"Medium","None"
"65",769.691664636485,"Medium","None"
"66",417.363398365047,"Medium","None"
"67",433.542487510908,"Medium","None"
"68",390.003834406225,"Medium","None"
"69",639.640792365178,"Medium","None"
"70",404.394575029137,"Medium","None"
"71",637.120900983853,"Medium","None"
"72",498.409026260153,"Medium","None"
"73",534.090914386969,"Medium","None"
"74",673.779492434692,"Medium","None"
"75",550.836567287721,"Medium","None"
"76",602.009084715519,"Medium","None"
"77",704.484317722629,"Medium","None"
"78",259.808287147054,"Medium","None"
"79",385.281832755927,"Medium","None"
"80",492.472002975887,"Medium","None"
"81",451.321622461302,"Medium","Controllable"
"82",525.449291909584,"Medium","Controllable"
"83",687.127598525361,"Medium","Controllable"
"84",505.386985015914,"Medium","Controllable"
"85",513.121936994622,"Medium","Controllable"
"86",203.978016133988,"Medium","Controllable"
"87",383.899971057977,"Medium","Controllable"
"88",380.487005882064,"Medium","Controllable"
"89",513.377277274299,"Medium","Controllable"
"90",433.229554952679,"Medium","Controllable"
"91",635.512542614043,"Medium","Controllable"
"92",590.848424809565,"Medium","Controllable"
"93",526.792878358689,"Medium","Controllable"
"94",444.177794498933,"Medium","Controllable"
"95",397.878627496008,"Medium","Controllable"
"96",416.122425287501,"Medium","Controllable"
"97",610.767569167403,"Medium","Controllable"
"98",575.596877699172,"Medium","Controllable"
"99",539.905799324388,"Medium","Controllable"
"100",519.359753251012,"Medium","Controllable"
"101",343.899986964268,"Medium","Uncontrollable"
"102",411.770614091571,"Medium","Uncontrollable"
"103",71.1874082913487,"Medium","Uncontrollable"
"104",306.238622878671,"Medium","Uncontrollable"
"105",198.180027353987,"Medium","Uncontrollable"
"106",255.819910379711,"Medium","Uncontrollable"
"107",374.963289603293,"Medium","Uncontrollable"
"108",446.431100802158,"Medium","Uncontrollable"
"109",31.2260627152525,"Medium","Uncontrollable"
"110",255.758955572027,"Medium","Uncontrollable"
"111",289.549721087001,"Medium","Uncontrollable"
"112",461.036588319678,"Medium","Uncontrollable"
"113",503.289591261734,"Medium","Uncontrollable"
"114",377.940249731323,"Medium","Uncontrollable"
"115",343.941922487508,"Medium","Uncontrollable"
"116",262.995556331612,"Medium","Uncontrollable"
"117",361.748055815609,"Medium","Uncontrollable"
"118",191.865484765722,"Medium","Uncontrollable"
"119",323.479057268571,"Medium","Uncontrollable"
"120",281.119275966501,"Medium","Uncontrollable"
"121",162.293836657769,"Fast","None"
"122",367.328221355054,"Fast","None"
"123",305.322213764558,"Fast","None"
"124",283.482739006552,"Fast","None"
"125",301.612212938906,"Fast","None"
"126",174.277444278076,"Fast","None"
"127",571.427570816112,"Fast","None"
"128",313.415170053856,"Fast","None"
"129",460.317394003154,"Fast","None"
"130",340.763469995896,"Fast","None"
"131",285.12524687598,"Fast","None"
"132",393.703170451821,"Fast","None"
"133",394.512754783594,"Fast","None"
"134",195.918587017888,"Fast","None"
"135",333.013322157719,"Fast","None"
"136",493.043605600166,"Fast","None"
"137",413.245015600497,"Fast","None"
"138",429.001033684794,"Fast","None"
"139",13.0467525882925,"Fast","None"
"140",354.724743559045,"Fast","None"
"141",355.130046944349,"Fast","Controllable"
"142",417.50434313837,"Fast","Controllable"
"143",335.962749023302,"Fast","Controllable"
"144",396.907330208472,"Fast","Controllable"
"145",245.531452130251,"Fast","Controllable"
"146",376.369365500297,"Fast","Controllable"
"147",276.589980614243,"Fast","Controllable"
"148",265.723405139201,"Fast","Controllable"
"149",202.621920365591,"Fast","Controllable"
"150",484.244289989082,"Fast","Controllable"
"151",457.470418545558,"Fast","Controllable"
"152",76.6289375523697,"Fast","Controllable"
"153",206.853969447026,"Fast","Controllable"
"154",294.370649888207,"Fast","Controllable"
"155",470.028094236477,"Fast","Controllable"
"156",299.711711527234,"Fast","Controllable"
"157",192.566869367347,"Fast","Controllable"
"158",209.008836624349,"Fast","Controllable"
"159",15.7321135428311,"Fast","Controllable"
"160",165.723239029288,"Fast","Controllable"
"161",206.963675344744,"Fast","Uncontrollable"
"162",316.113115359637,"Fast","Uncontrollable"
"163",157.641343860849,"Fast","Uncontrollable"
"164",252.718684214277,"Fast","Uncontrollable"
"165",376.116552721271,"Fast","Uncontrollable"
"166",218.700109729413,"Fast","Uncontrollable"
"167",335.419936200786,"Fast","Uncontrollable"
"168",207.781233830583,"Fast","Uncontrollable"
"169",171.790282665791,"Fast","Uncontrollable"
"170",241.954390353257,"Fast","Uncontrollable"
"171",329.060790885165,"Fast","Uncontrollable"
"172",149.787626644269,"Fast","Uncontrollable"
"173",340.555912522275,"Fast","Uncontrollable"
"174",331.838631398229,"Fast","Uncontrollable"
"175",331.920891994229,"Fast","Uncontrollable"
"176",419.68889832403,"Fast","Uncontrollable"
"177",297.504199256404,"Fast","Uncontrollable"
"178",199.270709696498,"Fast","Uncontrollable"
"179",241.743884692196,"Fast","Uncontrollable"
"180",236.668373528838,"Fast","Uncontrollable"
