ID,CONDITION,code,gender,start,end,feel.pre,sam.pre.h,sam.pre.ar,happy.post,persp,limits,compr1,persp2,compr3,vivid,image,p.future,certainty,post.f.hap,post.f.ar,cheat,cheat_TEXT,live.us,eng.native,fq1,fq2,fq3,fq4,compr,distance,issue,persp.r,others.perspective,persp2.r,WC,WPS,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,flexible_n,post.mood,she.vs.i,mood.change,not.live.us,age,uncertainty,limits.all,WISDOM
26,4,4,-1,1/24/2012 16:28:44,1/24/2012 16:37:30,1,3,8,1,1,1,1,2,1,1,5, ,7,1,3,2, ,19,1,awesome,nope,a little personal for my taste,"how depression affects how you handle relationships, specifically, different types of depressed outlooks",1,.5,.5,7,4.5,1,56,56,14.29,7.14,0,0,0,3.57,3.57,7.14,5.36,16.07,5.36,2,1.5,3.57,1.5,1,20,1,1,-1.82179684242815
30,1,1,-1,1/24/2012 17:03:14,1/24/2012 17:17:08,1,4,8,1,6,7,2,2,1,2,4,"I believe the relationship, personally, wouldn't progress much further beyond this point. I would be extremely interested in the reasoning behind my partner's actions, but the actions do speak for themselves. I would not wish to continue in a realtionship with someone who has cheated on me, but I would be willing to listen. Depending on the seriousness of the relationship, I woukld have to carefully consider all factors. Ultimately, however, I am not very forgiving with regards to cheating, so the relationship would probably end at that point.",6,1,4,2,I was cheated on while in a serious relationship,17,1,It was conducted well. I liked that the questions we began with were also introduced in the midst of the study - revealing how they have changed when thinking about things.,No.,Everything pertained to the study.,Emotional reactions/stimulation to relationships and the dynamics they entail.,1.5,-.5,-.5,2,2,2,93,18.6,13.98,9.68,8.6,0,0,0,1.08,4.3,7.53,13.98,10.75,1,2,-8.6,2,4,21,2,4.5,-1.2823302195628
32,1,1,-1,1/24/2012 17:13:33,1/24/2012 17:26:40,1,4,3,1,2,1,1,1,1,2,4,There will be no further relationship. Right then and there I would walk out and never talk to my girlfriend again. I would then beat the shit out of my friend who she cheated on me with. I will not have either of them be a part of my life again.,7,2,5,1, ,20,1,It was a study that doesn't make you feel good. I didn't like thinking about such a situation. The study overall was conducted well.,No difficulties or problems.,Nope.,How people respond to different situations who are romantically involved.,1,-.5,-.5,6,3.5,2,51,12.75,19.61,17.65,13.73,0,0,1.96,1.96,1.96,3.92,13.73,13.73,1,1,-11.77,3,1,21,1,1,-2.33583787089771
35,4,4,-1,1/25/2012 12:27:36,1/25/2012 12:41:49,1,3,8,1,6,6,6,2,6,2,5, ,6,2,5,1, ,18,1,This study brought into perspective the terrible things that can happen when in a relationship. It got me very worked up.,None to report.,No,I think the study was about how people would react to others in situations based on past experiences with relationships.,6,.5,.5,2,2,3,63,15.75,4.76,0,0,0,0,0,0,4.76,15.87,17.46,17.46,3,1,0,2,1,19,2,4,.271030697584859
50,1,1,-1,1/26/2012 14:40:03,1/26/2012 15:00:31,1,4,2,2,3,6,6,4,5,3,3,"The relationship will definitely been damaged. I would lose most of my trust in her and that really means a lot. It would take her a long time to earn it back but the relationship could continue if she I feel she does not have any genuine feelings for someone else. If there is still passion and commitment, then I definitely believe the relationship could be restored to what it was before after a long while.",6,2,1,1, ,18,1,This study was interesting to me because I came in a pretty happy mood and it made me think about things that I definitely would not think about normally that made me feel a little down. It was a good experience.,There were no difficulties at all. Everything was very straightfoward. Sometimes it was difficult to imagine instances of cheating and how it would make me feel but I could imagine situations that would make me feel depressed.,"I didn't find anything too weird. I wasn't expecting a study about how someone reacts to a situation that could impact a relationship in a negative way. That slightly surprised me, but I can see why a study might be needed for that.",The study seemed to be about how people in romantic relationships can be negatively impacted by them in their day to day lives. This is definitely a topic I would be curious about just to see how most people compared to me would handle such situations.,5.5,-.5,-.5,5,4.5,3,76,19,18.42,10.53,5.26,0,0,5.26,0,7.89,7.89,19.74,14.47,3,2.5,0,1.5,1,19,2,4,.717937274500845
53,1,1,-1,1/26/2012 15:27:42,1/26/2012 15:42:21,1,4,1,1,6,2,2,2,2,5,3,My relationship would not develop after this incident. There would not be a relationship after this incident. Perhaps being friends is in the future but it would be a while from the incident and would be a complicated fiasco.,6,2,1,1, ,19,1,Interesting. I learned some things about myself,No difficulties.,I did not find anything weird.,Situational response in romantic relationships.,2,-.5,-.5,2,2,2,39,13,10.26,2.56,2.56,0,0,0,0,7.69,12.82,23.08,23.08,1,1.5,-2.56,2.5,1,20,2,2,-2.059507153883
57,4,4,-1,1/26/2012 15:34:33,1/26/2012 15:47:38,1,4,2,3,2,6,1,4,1,1,5, ,7,3,4,1, ,21,1,I liked this study because it made me think about a scenario that could possibly happen over spring break and now I know how to handle it.,No.,The questions that kept asking if I was happy and aroused at those certain points in time.q,How human emotions can be affected by just the idea of a scenario and not the actual scenario happening.,1,.5,.5,6,5,3,88,22,18.18,13.64,6.82,0,0,6.82,0,4.55,2.27,13.64,11.36,4,3,0,1,1,22,1,3.5,-.232769821888169
58,4,4,-1,1/26/2012 16:03:28,1/26/2012 16:17:13,1,3,8,2,2,6,7,3,3,3,4, ,6,3,2,1, ,19,1,"Straight-forward, nothing too unexpected.",Nope.,No.,How people react in relationships.,5,.5,.5,6,4.5,5,113,22.6,15.93,13.27,2.65,0,0,10.62,0,2.65,7.08,15.93,8.85,1,2,7.97,1,1,20,2,4,.0214244913793966
60,3,3,-1,1/26/2012 16:25:06,1/26/2012 16:41:01,1,3,8,1,2,7,5,2,3,4,3, ,6,2,3,1, ,19,1,"It was good, although I didn't really enjoy the ""how are you feeling"" questions after every page.",No difficulties or problems.,No,how emotionally invested people are about their relationships/how thinking about the positive and negatives of their own relationship influences their feelings,4,-.5,.5,6,4,2,169,18.78,17.16,14.2,1.18,0,0,10.65,2.37,2.96,3.55,18.34,14.2,2,1.5,9.47,1.5,1,20,2,4.5,.111285107981781
62,1,1,-1,1/26/2012 16:36:34,1/26/2012 16:45:35,1,4,8,2,6,2,2,1,2,3,4,"I believe my relationship will definitely suffer, if not end. It is unacceptable to cheat in that context especially with one of my close friends. Not only would my friend lose his friendship my girlfriend would be no longer viable. With another person it is more understandable, but with a friend it is unacceptable. To imagine a future with her would be impossible as the situation is very likely to occur again as most likely she will still be in contact with that friend and be near him so the option would be there for her to do it again. There would be no way for it to continue.",7,2,4,1, ,21,1,Depressing,Too vivid of a situation and too much time thinking,No,Analyzing mood changes in response to negative thoughts,2,-.5,-.5,2,1.5,4,109,18.17,15.6,9.17,4.59,0,0,4.59,0,6.42,3.67,17.43,16.51,3,2,0,2,1,22,1,1.5,-1.78950298701474
65,2,2,-1,1/27/2012 10:10:16,1/27/2012 10:28:06,1,4,2,3,1,7,6,7,3,4,2, ,6,4,3,1, ,20,1,It seemed a little redundant.,Some of the phrasings of the questions might need revision.,"Not especially, just the wording of a few questions.",Emotional responses to imagined situations.,4.5,.5,-.5,7,7,6,82,20.5,9.76,2.44,1.22,1.22,0,0,0,7.32,8.54,14.63,13.41,2,3.5,-1.22,.5,1,21,2,4.5,.933088865147446
68,1,1,-1,1/27/2012 11:07:02,1/27/2012 11:24:34,1,5,3,1,5,5,3,4,4,4,4,"I think that this incident would certainly cause a serious strain in our relationship and would make me ask a lot of questions and reevaluate a lot about our relationship moving forward (if we even moved forward with our relationship). I think the main issue that would be almost impossible to overcome would be the violation of trust that occurred. Since my girlfriend and I have been dating for a while (over a year), we do a lot together but do a lot with other people as well, and before this incident occurred I trusted her completely. But because this incident occurred, in the future I will probably become suspicious all the time of what she is doing and whether she is cheating on me again. For this reason, I think it would be very difficult to continue on with the relationship without it being very different. The only reason I would want to continue with the relationship is because I do love her, but if she doesn't love me and would rather sleep with other guys, I don't think there would be any reason for our relationship to develop in the future.",5,2,4,1, ,20,1,"This study was easy to follow and move through, and the directions were clear.",N/A,I thought it was interesting that the majority of the study focused on imagining an incident of cheating occurring (i.e. something that would harm the relationship) rather than focusing on the strengths of the relationship.,"I think that this study was focused on finding possible relationships between a person's reaction to an incident of cheating and various characteristics of the person, i.e. strength of the relationship, their general attitudes toward life, their current mood, their reaction to depressing situations, etc.",3.5,-.5,-.5,3,3.5,3,197,39.4,18.27,12.18,6.6,3.05,0,2.54,0,6.09,7.61,17.26,12.18,2,1,-4.06,4,1,21,3,4,-.315223508271399
71,4,4,-1,1/27/2012 12:19:40,1/27/2012 12:36:46,1,4,8,2,3,6,4,7,4,2,4, ,7,3,2,2,"Love interest came back, she got involved",18,1,"It was simple and straightforward. Clear instructions, easy to follow and complete the questions and activities.","Not really, it can be difficult to quantifty feelings/relationships.",Not really.,Understanding how being in a relationship affects your reasoning ability.,4,.5,.5,5,6,5,101,25.25,15.84,9.9,.99,0,.99,2.97,4.95,5.94,10.89,13.86,8.91,4,2.5,1.98,1.5,2,20,1,3.5,.776584415762534
76,4,4,-1,1/27/2012 13:07:08,1/27/2012 13:21:46,1,3,8,2,3,7,6,5,5,3,4, ,5,2,3,1, ,21,1,this is an unnecessary question.,no,"typos (""lose"" not ""loose"" see above) and confusing situations (putting myself in friend's shoes, then third person, then my own relationship???)",relationship reactions,5.5,.5,.5,5,5,6,53,26.5,11.32,5.66,0,0,0,1.89,3.77,5.66,7.55,16.98,11.32,3,3,1.89,0,1,22,3,5,1.19605732675753
84,2,2,-1,1/28/2012 11:56:25,1/28/2012 12:12:05,1,3,3,1,5,7,5,2,5,5,3, ,6,2,5,2,"Painful, Scarring",18,1,It was very personal and made me think about things I haven't thought about in a while,"I trust my girlfriend a lot so it was a little hard to imagine her cheating, but I think I was able to.",Thinking about a situation from the third-person perspective was a little strange. It felt weird saying my own name in my head.,It was about the negative emotions that can come about from relationships.,5,.5,-.5,3,2.5,6,86,21.5,20.93,12.79,4.65,5.81,0,2.33,0,8.14,4.65,18.6,15.12,2,1.5,-2.32,1.5,1,19,2,4.5,.024833075838132
86,3,3,-1,1/28/2012 14:01:53,1/28/2012 14:16:17,1,4,3,2,1,6,3,5,7,2,5, ,6,2,2,2,thought my gf cheated but she was taken advantage of,19,1,very good.  A lot of people take for granted how others feel when their partner cheats,no,no,relationships and how negative occurrences cause mood issues,5,-.5,.5,7,6,1,102,14.57,16.67,10.78,2.94,0,0,6.86,.98,5.88,4.9,21.57,13.73,4,2,3.92,2,1,20,2,4,1.21753566749306
88,3,3,-1,1/30/2012 10:14:31,1/30/2012 10:30:12,1,4,2,1,1,6,3,6,2,2,4, ,7,2,4,1, ,22,1,"Interesting. For someone in a relationship, its interesting to take on a what-if scenario of a friend that could potential be related to my relationship in the future (hopefully not).",no,no,I think the study was about measuring people ability to see through other's peoples' eyes and applying that same ability to one's romantic life. This is measuring whether romance or feeling change the way people feel in a logical situation.,2.5,-.5,.5,7,6.5,2,87,17.4,21.84,19.54,13.79,2.3,0,2.3,1.15,2.3,3.45,12.64,8.05,4,1,-11.49,3,1,23,1,3.5,.502581903133846
89,1,1,-1,1/30/2012 11:14:52,1/30/2012 11:33:37,1,4,2,2,7,6,3,2,2,6,2,"We wouldn't be able to go on.  Our relationship is based off of communication and trust, and cheating violates those principles at the highest level.  I suppose after I took a few weeks to cool down I would get more information to see what happened, then gauge what I should do.  Because my feelings are so strong, I would probably be willing to forgive, but not forget, and not for a while, three or four months at least.  After that if we are together at all, the relationship would be rocky because our foundation of trust would no longer be solid.",6,2,4,1, ,19,1,"It was fine. It was slightly stressful because I had to try to imagine my partner cheating on me, which I never want to happen, and I don't think it ever would.  It kind of hurt to imagine being hurt by her and having to be angry and react to the situation.","Like I said, it was difficult to imagine the situation because I don't want to think about that happening.",No not weird.,How does thinking about a stressful event with your relationship in the 3rd person versus 1st person change your views and perception of the situation?,2.5,-.5,-.5,1,1.5,2,103,20.6,13.59,9.71,5.83,3.88,0,0,0,3.88,3.88,18.45,12.62,4,3,-5.83,1,1,20,2,4,-.469399753270298
95,4,4,-1,2/2/2012 14:28:52,2/2/2012 14:56:02,1,3,8,2,4,7,5,5,2,5,4, ,7,3,2,2,"Infidelity (several times), trust issues, immaturity",25,1,"Some of the questions were repetitive, which caused some difficulty in formulating answers that best reflect my feelings. If this is indeed the end, it was of adequate length where I didn't become bored or disinterested.",The room is a bit cramped.,This question.,"How I evaluate the reactions of others, but more specifically through what lens do I make these observations. Specifically, I believe the research was interested in how I reason about the feelings of others through use of my own feelings and experiences.",3.5,.5,.5,4,4.5,3,227,22.7,13.66,6.17,3.96,.44,0,.88,.88,7.49,11.45,16.74,10.57,4,2.5,-3.08,.5,1,26,1,4,.48218394247104
99,1,1,-1,2/3/2012 11:10:52,2/3/2012 11:21:12,1,4,2,2,3,6,5,6,2,3,2,"I don't think this relationship would continue.  Trust is very important in a relationship, and when that is breached, the relationship must end.",7,3,3,1, ,21,1,"Good, interesting",no,no,relationships and emotions,3.5,-.5,-.5,5,5.5,4,25,12.5,12,4,4,0,0,0,0,8,8,20,16,2,2.5,-4,1.5,3,24,1,3.5,-.0352656704572468
102,1,1,-1,2/3/2012 12:47:26,2/3/2012 13:03:26,1,4,2,2,2,6,6,6,4,5,3,"I think it will be important for my girlfriend and I to communicate better. In order for something like this to happen, there must have been a certain level of discomfort she had with the relationship. It will be important for the two of us to freely express our thoughts and emotions.  /  / There will likely exist trust issues between the two of us. We will have to do our best to reassure one another that we will remain faithful.  /  / On the other hand, this type of incident will lead to an evaluation of the relationship. The two of us would have to discuss how we want to proceed and whether or not this cheating incident will allow us to move forward.",5,3,3,1, ,21,1,I thought the study was at some times confusing. The questions weren't as clear as I would like them to be. I think the structure did not make logical sense to me.,The girl's voice during the audio portion irritated me. I think this study would be better if the person who recorded the audio had a more neutral tone in her voice. There are also a few spelling errors. Some sentences were also phrased poorly.,"Again, the girl's voice.",How thinking about potential negative situations regarding a romantic relationship can affect the mood of a person and his or her views on the relationship,5,-.5,-.5,6,6,2,121,17.29,17.36,10.74,2.48,7.44,0,.83,0,6.61,6.61,16.53,14.05,3,2,-1.65,2,1,22,3,4.5,1.11556061979934
105,2,2,-1,2/4/2012 10:58:16,2/4/2012 11:12:29,1,3,8,2,2,7,7,4,6,2,3, ,5,2,4,1, ,20,1,OK,No,No,How my feelings changed after I had to think about that situation.,6.5,.5,-.5,6,5,6,56,14,26.79,14.29,7.14,0,0,7.14,0,12.5,1.79,23.21,16.07,3,2,0,1,1,21,3,5,1.45561720390887
117,1,1,-1,3/9/2012 9:52:50,3/9/2012 10:09:24,1,3,8,2,2,5,4,7,5,3,3,I think that our relationship would definitely become more strained. The implications of such an action would cause me to rethink the dynamics of the relationship and most certainly how we communicate. I definitely think that my trust in my partner would be shaken. This would also make many communications more awkward and distressing. I don't know if I could continue the relationsip like that.,5,2,3,1, ,18,1,It was interesting and unique compared to others I have taken.,I had difficulty imagining some of these situations and assigning values to imagined feelings.,I just think that imagining such a situation is odd.,I think this study was about how people deal with traumatic events in a close relationship.,4.5,-.5,-.5,6,6.5,1,67,13.4,19.4,13.43,10.45,2.99,0,0,0,5.97,7.46,16.42,10.45, ,2,-10.45,1,1,19,3,4, 
122,2,2,-1,3/9/2012 10:06:15,3/9/2012 10:25:01,1,3,8,2,3,5,5,5,2,2,3, ,6,2,4,1, ,18,1,It was well done I think. I liked how the same questions were asked after each section.,The directions that said to think about the situation in the third person was a little contradictory to the language of the  writing prompt.,The section soliciting the information on how much we believed the environment influenced decisions seemed weird.,I think the study was about the effects emotional of thinking about the situation.,3.5,.5,-.5,5,5,4,135,15,21.48,16.3,5.19,0,0,11.11,0,5.19,2.96,17.04,11.85,4,2.5,5.92,.5,1,19,2,3.5,.416129870990197
143,1,1,-1,3/14/2012 9:03:56,3/14/2012 9:20:12,1,3,8,2,5,6,3,1,1,2,4,I dont think after my gf did this I would still be with her and would need monthes away from her to get over it and the fact that we are now over. Also my friend i would need time away from to because my friend is someone you can count on but in this situation he is more like a enemy,6,2,3,1, ,18,1,good,no,yes after the situation was presented i felt sad,changing my mood,2,-.5,-.5,3,2,3,62,62,25.81,17.74,9.68,1.61,1.61,4.84,0,8.06,3.23,22.58,16.13,1,2,-4.84,1,1,19,2,4,-1.3339416555663
145,4,4,-1,3/14/2012 9:53:47,3/14/2012 10:04:37,1,2,3,1,1,7,5,5,1,1,5, ,7,1,5,1, ,16,1,Interesting. Made me sad thinking about different scenarios involving my friends and myself.,No,No,How my mood had changed after hearing different things.,3,.5,.5,7,6,3,79,19.75,30.38,21.52,11.39,0,0,10.13,0,8.86,2.53,20.25,13.92, ,1,-1.26,1,3,19,1,4, 
152,4,4,-1,3/14/2012 10:42:45,3/14/2012 10:59:12,1,4,2,2,2,6,6,6,4,4,3, ,6,3,4,1, ,19,1,"Interesting, made me think of things I do not normally think about",No,No,How people would react to certain situations and the ability to empathize with others.,5,.5,.5,6,6,4,123,20.5,19.51,14.63,.81,0,0,13.82,0,4.88,7.32,21.14,11.38,2,2,13.01,2,1,20,2,4,.65080282294728
153,2,2,-1,3/14/2012 10:43:44,3/14/2012 10:58:53,1,3,2,1,5,3,1,1,1,3,4, ,6,2,3,1, ,18,1,"It was good, it really made me think about the situation rather than just breeze through it",No,I guess I found it weird that the study assumed that some people might consider staying with their significant other after such a situation,"How thinking about a situation can mess with emotions, even though the situation has not happened",1,.5,-.5,3,2,3,84,28,17.86,14.29,9.52,0,0,4.76,0,3.57,4.76,16.67,9.52,2,2,-4.76,1,1,19,2,2.5,-1.85430923418229
159,2,2,-1,3/16/2012 10:03:47,3/16/2012 10:24:10,1,1,8,1,4,5,2,6,1,1,5, ,7,1,2,2,This study is literally too ironic. Just yesterday my girlfriend of 6 months revealed that she had cheated on me with one of my good friends over SB...,20,1,Very realistic.,No,No.,Whether current mood affects one's reaction to learning his/her significant other cheated.,1.5,.5,-.5,4,5,4,145,20.71,23.45,16.55,9.66,.69,4.83,.69,.69,6.9,3.45,13.79,8.28,2,1.5,-8.97,-.5,1,21,1,3,-.851114102437447
168,2,2,-1,3/16/2012 11:32:06,3/16/2012 11:45:56,1,3,8,2,3,3,1,5,5,4,4, ,4,2,2,1, ,18,1,It was interesting and worth-while,No problems,no,"how the incident could have changed happiness throughout the study, and measures how attached the person is to relate it to their happiness.",3,.5,-.5,5,5,6,47,15.67,14.89,12.77,8.51,0,0,4.26,0,2.13,4.26,14.89,12.77,3,3,-4.25,0,1,19,4,3.5,.00298351014163574
2,4,4,1,1/23/2012 10:17:00,1/23/2012 10:33:00,1,2,2,2,3,6,2,5,3,2,5, ,4,2,3,1, ,18,1,"It was okay, I thought it would ask me more about my relationship.",No,No.,I didnt like imagining my boyfriend cheating on me. Or even my bestfriends boyfriend doing that to her. It gave me a pit feeling in my stomach.,2.5,.5,.5,5,5,3,165,18.33,21.82,14.55,3.03,0,0,11.52,0,7.27,4.24,16.97,12.73,2,2.5,8.49,-.5,1,19,4,5,.134011273030601
3,4,4,1,1/23/2012 11:05:59,1/23/2012 11:26:00,1,4,3,4,5,7,2,2,1,7,2, ,6,3,4,1, ,21,1,"It wasn't what I expected because I thought it would be more about my relationship, not someone else's.","Just when the recording said to put yourself in that person's shoes, then look at it from a third person perspective...putting yourself in someone else's shoes makes it sound like she wanted you to put yourself in first person, while thinking in third person.", ,How we sympathize with other people's feelings and how emotionally attached we are to them.,1.5,.5,.5,3,2.5,7,121,40.33,21.49,15.7,0,0,0,15.7,0,5.79,6.61,16.53,10.74,2,4.5,15.7,-.5,1,22,2,4.5,-.883626494191581
4,4,4,1,1/23/2012 11:06:59,1/23/2012 11:19:59,1,3,2,2,1,5,5,5,4,3,3, ,6,2,3,1, ,19,1,It was interesting,No,No.,How relationships are affected by your feelings and expectations,4.5,.5,.5,7,6,3,112,18.67,17.86,12.5,5.36,0,0,4.46,2.68,5.36,4.46,22.32,15.18,4,2,-.9,1,1,20,2,3.5,.906364354338207
5,1,1,1,1/23/2012 11:05:59,1/23/2012 11:26:00,1,3,2,1,4,7,7,6,5,5,2,"I feel as if I would need to know why he did it, first. I can't and shouldn't react based on my hurt feelings alone. I feel as if our relationship would last, but I might need a bit of time to myself, and be rather distant for a while. This might be different depending on the context, but I would definitely have an emotional blow-up reaction when he told me, and need time to work through it. I believe if we both wanted to make the relationship last, we could, so it would depend on whether or not he admitted to cheating on me as a segway to breaking up with me or not.",4,1,3,1, ,21,1,"It seemed more subjective than I expected. I guess I was expecting more fact-based, biological questions about my relationship than about my emotional response to a hypothetical situation.",Not that I encoutnered. .,No...,What controls how emotional a person gets when imagining hypothetical situations?,6,-.5,-.5,4,5,3,120,24,18.33,15,10,2.5,0,2.5,0,3.33,5,19.17,10,4,1.5,-7.5,1.5,1,22,4,5.5,1.79059506218526
7,1,1,1,1/23/2012 11:09:00,1/23/2012 11:24:00,1,5,2,1,6,5,2,3,3,2,4,"Our relationship will not be the same. I will develop trust issues and accuse him of cheating every time I feel he is cheating again. The friend he cheated on me with, we will no longer be friends. I will have to find new friends and make sure my boyfriend does not meet them and vise versa.",6,2,2,1, ,18,1,Great!,None,The questions about if I felt depressed.,The study was about feelings before and after a terrible incident occured in a romantic relationship.,2.5,-.5,-.5,2,2.5,2,57,14.25,19.3,19.3,8.77,3.51,0,5.26,1.75,0,3.51,19.3,15.79,2,1,-3.51,4,1,19,2,3.5,-.986849366198585
11,3,3,1,1/24/2012 14:30:00,1/24/2012 14:40:00,1,4,2,2,3,3,5,5,6,3,3, ,5,3,3,1, ,14,1,Fine,No,No,Analyzing our reaction to a situation based on current emotional and relational status.,5.5,-.5,.5,5,5,3,93,23.25,17.2,9.68,0,0,0,5.38,4.3,7.53,7.53,15.05,13.98,5,2.5,5.38,1.5,6,20,3,3,1.0372246729866
13,3,3,1,1/24/2012 14:34:00,1/24/2012 14:50:00,1,5,3,2,6,2,2,1,1,1,5, ,7,1,3,1, ,19,1,This study was interesting because I've never considered my boyfriend cheating on me before. I trust him so much. The study did a good job of forcing me to think about it thouroughly.,"The only problem occured at the beginning when the sound wasn't working, but the researcher fixed that for me.",I find it weird how much I responded to thinking about my boyfriend cheating on me. A tear actually rolled down my cheek. Maybe I'm PMSing. /,"I think that the study was about how relationships affect people. However, there were some questions about what we do when we're upset so it may have been about that. The relationship scenario could have possibly been just to get us in an upset mood.",1.5,-.5,.5,2,1.5,1,206,15.85,25.24,18.93,11.65,.97,0,6.31,0,6.31,3.4,16.5,13.11,1,3,-5.34,2,1,20,1,1.5,-2.48601577013619
15,2,2,1,1/24/2012 14:32:00,1/24/2012 14:43:00,1,3,8,1,3,7,6,5,5,1,4, ,7,2,4,2,"Not as extreme, beginning of our relationship I was cheated on with words",20,1,Kind of hard emotionally,"No, it was just not fun to imagine that situation",No,How negative situations in your relationship affect your emotions and thoughts,5.5,.5,-.5,5,5,5,136,19.43,16.91,8.09,2.94,2.94,0,0,2.21,8.82,3.68,18.38,11.03,4,1,-2.94,2,1,21,1,4,1.11664099987207
