PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
77,11,13,15,17,19,11,6,3,2,2,1,3,2,60,21,9,4,1,1,1,1,1,1,0,1,1,6,6,19000,5,52,1,34.1629125196438,57270,40.7848101265823,23700
131,30,50,20,0,0,0,0,0,0,0,0,1,1,50,20,10,10,10,0,0,0,0,0,0,6,1,6,1,19000,5,41,2,22.6040268456376,22350,38.2857142857143,26250
213,15,22,18,15,10,5,4,3,2,1,5,1,1,31,41,5,5,5,5,4,1,1,1,1,6,1,6,1,19000,2,41,2,43.169014084507,53250,44.6551126516464,34620
37,20,17,22,13,10,7,5,2,2,1,1,5,4,31,25,21,11,11,1,0,0,0,0,0,5,1,5,2,20000,3,30,2,39.8608,46875,35.0643302928468,31245
128,5,17,18,20,14,12,6,4,3,1,0,3,3,4,10,25,21,17,11,6,2,1,2,1,4,2,4,4,20000,6,25,1,31.6569536423841,56625,29.6492092299715,57855
134,5,10,20,22,23,8,5,3,2,1,1,3,3,17,37,45,0,0,0,0,0,0,0,1,2,3,3,4,20000,5,30,2,29.2345360824742,58200,25.1819116135663,29190
161,13,26,14,12,8,7,6,5,4,3,2,4,3,48,52,0,0,0,0,0,0,0,0,0,4,2,4,4,20000,3,28,2,42.1522273845313,54885,17.0103092783505,17460
225,8,15,24,25,8,6,5,3,3,1,2,1,1,0,31,45,19,0,0,0,0,5,0,0,5,2,5,1,20000,2,29,1,35.0857775318207,54210,25.6492537313433,40200
247,2,4,4,4,8,12,13,15,15,12,11,3,3,9,16,16,17,0,3,0,13,12,6,8,2,2,4,4,20000,4,28,1,25.5067822682142,107265,41.7898365176285,76155
300,10,15,5,16,3,9,10,5,4,3,20,3,2,0,0,70,26,0,0,0,0,0,0,4,5,2,5,2,20000,2,55,2,42.1056218057922,88050,20.0754716981132,47700
1,10,19,26,20,9,6,3,3,2,1,1,2,2,4,31,36,17,7,3,1,0,0,0,1,4,3,4,4,21000,2,37,1,35.2633996937213,48975,28.1466066741657,40005
19,10,13,18,13,12,8,7,5,5,5,4,2,3,8,18,40,19,15,0,0,0,0,0,0,5,2,5,4,21000,3,28,1,39.1383219954648,66150,24.2819745699327,40110
23,12,12,13,18,13,7,7,6,5,4,3,7,7,24,61,7,5,1,1,0,1,0,0,0,1,4,4,5,21000,8,32,1,38.3210881190421,64515,26.3431372549019,24480
41,5,37,11,11,7,9,5,4,4,4,3,1,3,1,28,16,29,0,17,0,0,0,0,9,4,3,4,3,21000, ,53,2,41.8578947368421,57000,38.9650455927052,59220
72,2,9,14,19,21,13,8,5,4,3,2,3,3,0,40,20,0,40,0,0,0,0,0,0,6,1,5,2,21000,2,28,1,29.4211897524967,69090,26.8275862068966,43500
115,19,17,7,8,7,7,7,10,10,5,3,4,3,17,49,24,0,7,0,0,0,3,0,0,5,3,6,3,21000,5,27,1,42.8049977688532,67230,32.3561979421852,30615
87,18,20,30,11,4,5,3,3,3,2,1,4,6,39,30,23,5,3,0,0,0,0,0,0,6,2,4,3,22000,3,29,2,40.6652360515022,45435,31.3339404978749,24705
222,16,24,28,13,6,3,2,2,2,2,2,3,3,0,0,16,22,26,5,19,8,4,0,0,3,2,5,5,22000,3,61,2,40.4714573539288,44670,22.0062630480167,71850
154,30,19,10,9,8,7,6,4,3,2,2,1,1,10,30,40,0,0,0,0,0,0,10,10,3,1,4,3,23000,4,56,2,46.8885448916409,48450,47.978835978836,56700
24,51,30,9,2,2,1,1,1,1,1,1,1,1,20,60,20,0,0,0,0,0,0,0,0,6,1,6,1,24000,5,25,2,43.0800915331808,26220,19.4358974358974,23400
57,0,50,10,10,10,5,5,3,3,2,2,4,4,50,30,0,17,0,0,3,0,0,0,0,2,5,2,4,24000,5,25,1,39.5255255255255,49950,37.5060975609756,24600
97,20,22,30,5,5,5,2,3,3,3,2,1,1,20,30,30,20,0,0,0,0,0,0,0,6,1,6,1,24000,4,42,2,43.7785016286645,46050,27.3398058252427,30900
169,22,17,11,19,16,6,3,2,2,1,1,2,2,40,57,0,3,0,0,0,0,0,0,0,4,1,5,2,24000,5,25,1,39.3416640303701,47415,19.671875,19200
245,20,14,11,10,10,7,6,6,5,6,5,3,4,18,19,17,14,9,7,5,4,3,2,2,4,3,3,3,24000,5,25,1,44.4252607184241,64725,41.9515011547344,51960
53,5,8,12,15,12,10,9,9,8,7,5,1,1,2,3,8,11,15,11,10,10,10,10,10,6,1,6,1,25000,3,44,2,33.8348968105066,79950,29.5384375972611,96390
61,10,27,16,20,11,4,1,2,2,6,1,1,1,12,33,7,11,11,1,5,5,7,4,4,6,5,6,2,25000,1,44,2,39.2776957163959,50775,45.1088295687885,58440
71,20,40,25,15,0,0,0,0,0,0,0,3,3,20,0,80,0,0,0,0,0,0,0,0,2,1,2,5,25000,9,52,2,27.1047120418848,28650,14.5925925925926,32400
110,17,23,17,10,7,6,5,4,4,2,5,2,3,5,50,30,15,0,0,0,0,0,0,0,4,2,5,4,25000,4,25,1,45.5542363734484,55590,21.7699757869249,30975
117,15,24,17,14,13,5,3,2,2,2,3,5,5,5,23,34,28,4,6,0,0,0,0,0,3,3,3,4,25000,5,24,2,41.6,50250,24.6366972477064,40875
132,10,26,14,11,13,13,3,2,2,3,3,1,1,30,30,22,0,14,0,0,0,0,4,0,6,2,5,2,25000,3,54,2,40.1231393775372,55425,40.8533333333333,33750
190,31,17,11,8,7,6,6,5,4,3,2,3,3,9,17,74,0,0,0,0,0,0,0,0,4,1,6,4,25000,2,31,1,47.7241276468834,50295,13.4712907671107,32655
207,10,30,30,10,7,6,3,1,1,1,1,1,1,50,50,0,0,0,0,0,0,0,0,0,3,1,5,3,25000,3,23,1,36.0788091068301,42825,17.2173913043478,17250
251,10,30,40,10,6,2,1,0,0,0,1,4,7,39,0,22,0,0,39,0,0,0,0,0,5,1,4,2,25000,3,32,2,29.5091649694501,36825,39.1842367808447,45105
269,30,9,12,23,4,2,3,2,2,3,10,1,1,40,40,20,0,0,0,0,0,0,0,0,6,1,4,2,25000,3,25,1,49.9457364341085,58050,25.0985915492958,21300
276,10,26,64,0,0,0,0,0,0,0,0,7,7,30,10,60,0,0,0,0,0,0,0,0,5,2,5,2,25000,5,34,2,16.1739130434783,31050,22.4761904761905,28350
282,20,7,8,9,10,8,6,5,4,3,20,4,5,10,50,20,0,10,0,0,0,0,0,10,2,2,2,5,25000,5,35,1,44.7349823321555,84900,47.0649350649351,46200
304,21,19,17,15,12,6,3,2,2,2,1,1,2,34,62,4,0,0,0,0,0,0,0,0,4,3,5,2,25000,7,23,1,40.7252252252252,46620,17.0138248847926,19530
74,12,35,24,11,6,3,3,3,1,1,1,1,1,24,49,21,2,2,1,1,0,0,0,0,3,1,6,1,26000,5,26,2,38.2241068206424,41565,27.9284064665127,25980
103,15,21,30,15,7,4,3,2,1,1,1,1,1,30,39,27,2,1,1,0,0,0,0,0,4,3,5,3,26000,4,36,1,36.7586206896552,43500,27.6766467065868,25050
129,12,22,20,17,12,6,4,2,2,2,1,2,3,0,0,0,0,35,25,17,12,5,3,3,4,3,4,4,26000,4,26,1,37.4898207231844,49365,16.8761354252683,90825
21,20,19,10,8,8,7,6,6,6,5,5,3,3,0,40,50,0,0,10,0,0,0,0,0,5,1,5,3,28000,3,50,1,45.7723480333731,62925,23.25,36000
179,7,16,28,41,2,2,0,1,1,1,1,3,3,13,24,45,11,1,1,1,1,1,1,1,4,1,5,1,28000,2,49,1,27.289124668435,45240,31.7393026941363,37860
186,4,5,11,20,16,12,10,8,5,4,5,4,4,8,16,20,29,24,3,0,0,0,0,0,4,3,4,4,28000,2,27,1,31.280627056319,77505,25.0587467362924,45960
298,23,19,22,9,10,9,2,2,1,2,1,1,1,22,59,6,5,2,0,0,0,0,0,6,4,2,6,4,28000,4,30,1,41.417004048583,44460,43.6719858156028,33840
305,12,17,22,18,14,6,4,3,2,1,1,4,4,9,14,21,29,15,9,3,0,0,0,0,1,3,2,5,29000,5,49,1,35.8288341738356,50565,27.4982742390963,47805
31,6,4,4,3,3,2,2,1,1,35,39,1,1,2,1,84,2,2,2,2,1,1,1,2,4,2,5,2,30000,1,51,2,24.9095531753759,138645,21.1864740643467,45690
32,6,10,10,18,19,11,10,5,3,4,4,7,4,0,21,13,22,10,15,9,3,2,1,4,1,3,1,6,30000,7,26,1,33.3370072064434,70770,33.588785046729,64200
44,1,3,9,13,23,16,7,13,9,6,0,5,5,0,0,0,40,33,27,0,0,0,0,0,2,2,2,5,30000,1,30,2,24.4225013855533,81195,12.0022883295194,65550
107,4,7,10,12,18,13,11,9,8,6,2,4,4,0,0,0,40,35,10,5,5,5,0,0,2,3,4,3,30000,3,27,1,29.8321865443425,78480,16.8924731182796,69750
125,3,17,20,17,13,8,6,5,4,4,3,5,5,4,30,36,14,5,3,2,2,0,1,3,3,2,3,4,30000,5,42, ,35.8399625643425,64110,35.1096795507103,45405
138,4,8,57,20,5,1,1,1,1,1,1,4,4,4,10,86,0,0,0,0,0,0,0,0,4,2,4,4,30000,5,27,1,24.2790156301962,45105,8.3156089193825,34980
146,2,3,11,16,20,23,25,0,0,0,0,2,2,8,41,51,0,0,0,0,0,0,0,0,6,4,6,4,30000,5,38,2,20.145966709347,70290,17.4257932446264,29310
187,20,30,0,50,0,0,0,0,0,0,0,5,5,21,12,14,12,15,11,4,6,1,1,3,4,1,5,1,30000,1,30,2,27.9322033898305,35400,40.9825992387167,55170
246,17,16,14,12,19,0,9,4,0,2,7,5,3,11,11,14,16,3,5,7,9,6,9,9,2,2,3,4,30000,5,22,1,43.6161565479177,59790,41.0488736158839,78570
277,11,17,21,22,5,5,5,3,3,2,6,3,3,0,30,30,40,0,0,0,0,0,0,0,4,1,4,2,30000,1,29,2,41.6506516739075,58695,19.3076923076923,39000
302,4,18,34,22,9,5,3,2,2,1,0,3,2,5,12,21,18,17,10,8,4,3,1,1,5,1,4,3,30000,5,40,1,29.6986301369863,48180,31.5288220551378,59850
60,6,13,19,16,13,19,4,2,5,2,1,4,4,10,20,23,0,30,0,15,0,0,0,2,5,1,5,3,31000,3,33,1,32.6726556731479,60945,35.3559322033898,53100
65,0,3,10,17,19,17,15,13,3,2,1,1,1,1,5,17,23,23,14,9,2,2,2,2,5,3,5,5,32000,7,26,1,23.1440922190202,78075,26.1634249944109,67095
182,17,13,5,31,34,0,0,0,0,0,0,3,4,35,40,25,0,0,0,0,0,0,0,0,4,1,5,2,32000,5,32,2,26.7694562031911,46065,25.0398671096346,22575
39,13,17,13,10,8,8,7,7,8,7,2,3,3,5,60,30,0,0,0,0,0,2,1,2,4,2,5,2,35000,1,28,1,40.6777551482236,66285,31.0496613995485,33225
88,12,29,20,14,12,10,2,1,0,0,0,6,4,20,31,49,0,0,0,0,0,0,0,0,3,1,5,4,35000,6,29,1,33.7230113636364,42240,21.5621621621622,27750
118,4,4,3,10,15,12,11,10,11,10,10,3,4,0,0,39,39,22,0,0,0,0,0,0,4,2,4,4,35000,3,29,2,29.3005229160258,97530,14.2972972972973,49950
119,15,20,40,10,3,0,5,2,1,2,2,1,1,10,20,40,20,10,0,0,0,0,0,0,6,1,6,1,35000,9,32,2,38.451114922813,43725,24.6482213438735,37950
136,10,20,20,19,5,3,2,2,2,2,15,1,1,0,0,97,0,0,0,0,0,0,0,3,5,1,6,1,35000,1,35,2,46.4983425414365,67875,12.854351687389,42225
200,21,20,18,12,8,6,4,4,3,2,2,1,1,22,41,37,0,0,0,0,0,0,0,0,6,1,6,2,35000,4,38,1,43.5800182204677,49395,22.5839160839161,25740
287,3,7,13,10,21,16,12,8,3,1,6,3,2,10,21,36,8,11,8,4,2,0,0,0,4,2,5,2,35000,1,27,2,30.5477719400662,77085,32.2020547945205,43800
257,8,18,15,19,11,7,4,4,4,5,5,3,4,20,25,20,15,10,10,0,0,0,0,0,4,3,4,3,36000,6,48,1,40.0362234166861,64185,34.6953125,38400
33,3,7,22,27,26,4,3,3,3,1,1,8,8,5,6,8,9,10,11,11,13,13,0,14,1,6,1,6,37000,6,69,1,26.7986714358712,58710,32.895486935867,94725
130,4,10,13,14,13,13,12,9,6,4,2,1,1,0,10,33,5,6,17,9,0,3,10,7,5,1,6,5,37000,1,39,1,31.6262749898001,73530,36.1829871414441,75825
293,19,20,30,10,9,6,5,1,0,0,0,2,3,25,15,13,22,19,6,0,0,0,0,0,1,4,1,6,37000,9,25,2,35.3952363230368,40305,33.9500924214418,40575
43,19,18,10,10,9,11,6,7,6,1,3,4,3,0,1,16,32,43,5,0,0,0,3,0,4,2,5,2,38000,3,53,2,42.7884322678843,59130,16.6625310173697,60450
113,9,18,32,21,11,2,1,2,2,1,1,3,3,1,30,51,13,3,1,1,0,0,0,0,4,2,6,3,38000,3,32,2,32.8014230271669,46380,20.2329103561195,36645
135,43,13,4,3,3,2,2,1,2,6,21,4,4,0,82,18,0,0,0,0,0,0,0,0,4,3,4,4,38000,3,28,1,56.1749571183533,69960,10.7857142857143,25200
178,7,16,15,13,12,10,8,8,5,4,2,2,2,11,38,10,17,5,6,11,0,0,0,2,4,1,4,4,38000,1,26,2,36.4278573051579,66015,39.4919221892516,45495
29,3,9,18,21,17,12,9,5,3,2,1,7,3,0,15,37,37,0,0,11,0,0,0,0,4,1,5,4,39000,3,25,2,29.4516728624535,64560,23.2278481012658,47400
5,2,10,15,15,15,15,10,7,5,5,1,5,5,10,20,30,15,0,0,20,0,0,0,5,1,3,3,4,40000,8,58,1,30.1548941521693,71565,40.3980582524272,54075
20,16,12,16,16,9,4,5,5,5,6,6,1,1,13,3,4,4,4,3,2,1,2,3,61,6,1,6,1,40000,2,52,2,43.4097985347985,65520,28.5982410982411,139860
56,11,15,17,20,15,10,4,2,2,2,2,1,1,14,22,20,21,20,1,1,1,0,0,0,5,1,6,5,40000,4,60,1,35.9379907933929,55395,30.7438672438672,41580
63,5,19,45,14,5,4,3,2,1,1,1,1,1,20,50,15,10,2,2,0,0,0,0,1,6,2,6,4,40000,5,25,1,30.9703947368421,45600,32.5521628498728,29475
78,11,12,13,14,14,11,8,5,4,4,4,5,7,10,20,24,24,15,7,0,0,0,0,0,1,1,4,5,40000,8,63,1,37.9000673703122,66795,28.3229166666667,43200
82,4,7,11,5,1,8,5,8,15,13,23,2,3,2,14,50,30,4,0,0,0,0,0,0,5,2,5,5,40000,1,28,1,32.2458316659997,112455,17.1855136733186,40590
86,10,10,20,25,10,10,5,5,2,2,1,2,2,2,70,20,8,0,0,0,0,0,0,0,6,2,5,4,40000,3,38,1,33.798418972332,56925,17.6511375947996,27690
96,15,14,11,9,7,7,7,6,9,8,7,5,6,10,60,20,10,0,0,0,0,0,0,0,2,3,3,6,40000,6,25,1,42.570564516129,74400,21.8360655737705,27450
98,5,15,15,10,15,12,5,8,5,7,3,2,3,1,0,7,90,2,0,0,0,0,0,0,5,3,5,5,40000,7,29,2,35.9598308668076,70950,5.21443178498393,51345
100,6,10,16,14,13,12,11,10,4,3,1,5,5,10,17,25,19,15,14,0,0,0,0,0,4,2,4,2,40000,3,27,1,32.3520755545794,68295,29.2312703583062,46050
144,15,34,30,12,5,0,0,0,0,0,4,5,5,0,35,65,0,0,0,0,0,0,0,0,5,3,4,3,40000,9,35,2,37.8880157170923,38175,12.5813953488372,32250
170,24,49,22,1,0,1,1,0,1,1,0,1,1,20,20,36,17,4,0,0,1,1,1,0,6,3,6,4,40000,1,25,1,31.0993377483444,27180,31.9707112970711,35850
175,3,19,27,24,16,6,2,1,1,1,0,1,1,9,53,28,6,4,0,0,0,0,0,0,5,2,5,2,40000,5,34,2,27.8659097882786,48885,23.5293817066939,29355
177,9,13,27,18,11,7,5,3,3,2,2,3,3,2,5,29,36,17,8,3,0,0,0,0,3,1,4,3,40000,6,34,2,36.0202319935258,55605,20.349252013809,52140
189,10,20,25,25,10,3,2,2,1,1,1,3,3,0,10,10,10,20,10,10,5,3,2,20,4,2,4,3,40000,5,51,1,33.3273905996759,46275,35.1594896331738,94050
204,10,10,12,13,14,10,8,7,6,6,4,9,9,0,0,5,15,20,10,10,10,10,10,10,1,6,1,6,40000,9,31,1,36.9230769230769,72150,26.5833333333333,99000
223,10,17,21,27,11,3,1,1,2,3,4,2,3,2,3,26,30,7,14,12,3,1,1,1,3,2,5,3,40000,4,45,2,37.9469273743017,53700,26.4645517904349,62415
224,10,0,40,28,22,0,0,0,0,0,0,5,4,7,5,4,6,7,8,10,9,36,8,0,3,3,4,4,40000,4,25,2,20.8393442622951,45750,25.1078694212269,95115
232,7,20,22,17,11,8,7,3,2,2,1,1,1,5,12,13,28,27,15,0,0,0,0,0,5,1,5,4,40000,3,26,1,35.4559068219634,54090,23.1907433380084,53475
240,9,23,42,12,3,2,2,3,2,1,1,3,3,0,7,18,72,3,0,0,0,0,0,0,4,2,4,3,40000,5,28,1,34.1054823039556,43230,10.7757009345794,48150
244,16,23,17,12,11,5,5,3,3,3,2,3,3,10,43,47,0,0,0,0,0,0,0,0,4,1,5,5,40000,2,32,2,42.2524723676556,51570,18.4263157894737,28500
248,15,9,15,14,10,5,9,11,3,2,7,8,8,15,9,22,22,9,8,13,2,0,0,0,6,1,6,3,40000,1,52,2,41.0845986984816,69150,33.0937042459737,51225
280,14,20,20,15,8,6,5,3,3,2,4,2,2,7,25,30,22,10,0,0,2,1,1,2,4,1,4,3,40000,2,28,1,42.2932454695223,54630,33.3764627214978,44865
296,2,8,22,17,5,12,12,8,8,4,2,1,1,1,23,53,10,13,0,0,0,0,0,0,4,1,6,6,40000,4,31,2,32.0250719276613,72990,20.3517030233448,39195
89,8,16,40,21,6,3,2,1,1,1,1,4,4,8,4,22,35,20,11,0,0,0,0,0,4,2,3,6,42000,3,28,1,30.5001672800268,44835,22.3678025851939,51060
234,23,27,15,9,6,5,4,2,2,2,5,7,5,20,30,50,0,0,0,0,0,0,0,0,1,5,1,6,42000,9,34,1,48.0086313193588,48660,21.4623655913978,27900
